pass,frame,zoom,game_minutes,residents,demographic_version,influence_revision,influence_changed,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
4,27,1.56543,1440,21417,29820,2,0,14.3912,0.002,3.3088,5.1596,0,0,0.0003,0.0026,4.5265
4,28,1.67299,1440,21417,29962,2,0,12.1483,0.0019,2.6915,4.3294,0,0,0.0003,0.0022,3.6851
4,29,1.79076,1440,21417,30104,2,0,11.0445,0.0022,2.5798,3.9364,0,0,0.0001,0.0019,3.2235
4,30,1.91967,1440,21417,30246,2,0,10.7959,0.0022,2.6267,4.0213,0,0,0.0002,0.0024,2.8773
4,31,2.06075,1440,21417,30388,2,0,9.8186,0.0021,2.628,3.4046,0,0,0.0002,0.0011,2.6697
4,32,2.21512,1440,21417,30530,2,0,9.4163,0.0037,2.5221,3.4449,0,0,0,0.0015,2.3927
4,33,2.38398,1440,21417,30672,2,0,8.6589,0.0015,2.5291,3.2699,0,0,0.0001,0.001,2.1065
4,34,2.56862,1440,21417,30814,2,0,19.9526,0.0014,10.5869,6.0987,0,0,0.0001,0.0015,1.9336
4,35,2.77047,1440,21417,30956,2,0,15.1228,0.0017,6.8548,5.7302,0,0,0.0001,0.0011,1.5414
4,36,2.99101,1440,21417,31098,2,0,12.7785,0.0025,5.3669,5.1161,0,0,0.0001,0.0015,1.1929
4,37,3.23189,1440,21417,31240,2,0,15.2313,0.0018,6.8662,6.4209,0,0,0.0001,0.0029,1.1623
4,38,3.49483,1440,21417,31382,2,0,12.9911,0.0022,6.3766,5.0337,0,0,0.0001,0.0018,0.7222
4,39,3.78168,1440,21417,31524,2,0,11.9155,0.0019,5.4953,4.7023,0,0,0.0002,0.0014,0.5085
4,40,4.0944,1440,21417,31666,2,0,10.6424,0.0016,4.5538,4.9988,0,0,0.0002,0.003,0.4922
4,41,4.43507,1440,21417,31808,2,0,9.787,0.0018,4.2853,4.4101,0,0,0.0001,0.0017,0.3552
4,42,4.80587,1440,21417,31950,2,0,11.5628,0.003,5.468,4.3984,0,0,0.0001,0.0017,0.3387
4,43,5.20909,1440,21417,32092,2,0,8.991,0.0018,3.7536,4.4365,0,0,0.0003,0.0018,0.2694
